Sex,GHEcode,GHEcause,Disease Category,Disease Name,AFG,ALB,DZA,AGO,ATG,ARG,ARM,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CAF,TCD,CHL,CHN,COL,COM,COG,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GRC,GRD,GTM,GIN,GNB,GUY,HTI,HND,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LTU,LUX,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNG,MNE,MAR,MOZ,MMR,NAM,NPL,NLD,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,LCA,VCT,WSM,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,SSD,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE
Persons,30.0,Communicable,Infectious and parasitic diseases,Tuberculosis,13576.515427100001,25.355272758999998,2430.56031759,9753.03427655,0.9116696729999999,888.138805519,192.228112905,54.981873512,76.89897175,1785.4132390999998,7.292498887,17.035005860000002,81645.7188087,1.046772087,855.6506180380001,111.655024265,16.600075305,1242.68481756,139.917250295,613.435537661,289.228152901,700.150828315,9065.266442209999,16.879099399,350.56771144299995,1230.88425086,3539.14745086,15585.148892399999,10783.075091600002,141.75638105899998,36.100053489,5088.67024099,2144.8946468,564.049626195,99167.8844525,1519.01001614,42.144014686,516.9255867180001,88.553528125,14134.642986699999,187.779042433,55.264097845,,125.773783684,4057.2786035500003,29684.748647300003,39.781783104,445.86260322,727.496691736,1647.60171803,1151.5254024699998,165.72228425499998,46.125926997,114.657814527,110.394234657,57226.342092800005,12.870803503,131.048883262,1165.52614197,1196.5103980200001,297.14146710299997,374.563928015,634.721365356,9837.939067840001,90.224909993,,632.534218315,4900.28464624,788.9935692920001,108.107791326,4059.25301427,183.504654146,391.973123424,2.192564299,577656.38945,109182.32027000001,1532.86773663,1050.40239745,52.463748731,80.44090771699999,510.271190232,24.840646567,5071.26591607,36.496125145,4740.50339269,4698.31075982,11.608971734999999,27.314395703,1304.7760647999999,5853.23335821,316.279094311,47.449068687,1036.15936738,2097.39685354,353.92690360299997,378.452758444,3.430830604,10707.548711399999,1924.64206268,1593.4562166399999,14.519429610000001,1467.23462737,3.041694343,1354.62320514,6.563159983,3721.95057944,11.603174242000001,431.43161478499997,25.328397321999997,3806.38148489,16600.2094183,60108.468191299995,545.05093247,4079.3521135799997,99.167782801,24.029304623999998,338.958148196,5996.48850147,110947.224502,55.374719977,19.679726543,87514.9107175,220.60493182,4406.5689874400005,231.155029305,3603.96300461,35396.5463199,1200.81501635,402.90579204,11.615094632,4124.30283417,748.7284725459999,2137.06237186,32552.3052016,367.940899691,2.317938477,3.5851061939999997,4.1382365640000005,31.512706815999998,763.931453576,2610.51088458,386.62799341600004,2.224338091,3377.8647674100002,127.35116207600001,55.258881380999995,21.757312535999997,54.629924862,6009.58718252,23976.3348034,2102.41583571,539.331554341,1830.92613104,8023.62928949,6.135265807,296.809960416,70.92409512399999,47.266801486,75.796819862,1255.4217960600001,12583.925498699999,97.779991627,795.1684923920001,316.181275376,2.2826302750000003,33.404458551,269.43562352099997,1988.35584341,1799.91364501,9982.435780419999,11540.9417468,189.828848509,514.501603634,23706.606999000003,948.4191148,79.774551682,4450.75299949,24.558486119,817.221115077,23104.5400826,3499.28411973,3908.71209407,2154.1611877500004
Persons,50.0,Communicable,Infectious and parasitic diseases,Syphilis,625.164967914,19.760004566000003,153.985797425,2059.57987208,0.017298376,126.56548562100001,22.734104908,13.982677387,1.1987897319999998,253.661651895,1.23979634,0.915516408,6308.17326062,1.104855726,8.192485511000001,5.51953042,1.287792496,293.73105955200003,17.982910941,708.468234466,2.790279154,23.482275008000002,1090.01057238,0.396534969,7.046661596,848.639080354,315.262798207,772.782879699,1851.2368400300002,12.537998423,8.303045992,477.90081166600004,1844.1164539499998,49.694501289,4743.95040959,220.155003711,44.041601139,189.355507576,6.1212695539999995,1137.69205218,3.010509683,34.731241800999996,0.379314566,3.925649903,142.961557457,9305.63895715,3.707199533,38.618694665,24.283357421999998,227.541221924,342.913346951,61.778193661,30.616096054,143.408201376,0.950168364,5635.62280029,5.059586758,4.375650933,44.264974265999996,49.443924759000005,113.30377473600001,32.14366791,33.15520007,555.3803732519999,4.289542891,0.227362548,301.60770487900004,896.203216262,311.865514766,10.727275495999999,666.0878801490001,160.715113584,5.99658336,0.0052810741,29965.2583377,875.959985639,45.642518867999996,261.95494857700004,1.538881141,0.262537071,20.340091834,4.681361537,85.225539572,7.881004818,124.60633273299999,1517.16546871,1.287682056,11.057804025,55.971324386999996,112.32328558500001,5.762663223,9.817689311999999,53.382420597999996,146.362185468,25.81036842,5.5299842439999995,,1166.95741058,582.99941622,13.840337598,1.853169669,1489.11546303,0.0077332489,350.09979386099997,1.163517607,275.85267884800004,4.344768211,22.181662172,0.888942943,758.4997855170001,2832.81705066,843.418309832,50.706380692,981.158079471,9.39256885,0.12017374,144.862526279,488.95136572399997,4853.83017452,3.761963405,1.79435685,4000.5164006099994,9.570094588,323.470592871,89.997769837,1231.93902816,777.501566111,23.833748984,6.50788864,0.9582738919999999,18.202056051,9.734702749999999,42.462629759,132.695959119,962.649082185,0.10420568000000001,0.44589640799999997,0.664770149,2.384244111,37.485765645,1075.76934053,16.41871963,0.203487154,302.334228375,2.737022059,2.6132179840000003,0.895473615,25.515587451000002,805.902908468,907.7224782249999,852.700977117,20.934066439000002,17.007472401999998,3297.36428897,4.308884511,27.201086873,7.144114408999999,5.426866404,135.451713155,471.274261588,194.321067525,6.598704031,33.932508491,517.4812769890001,0.269525645,2.8326417839999998,43.869624554000005,358.669147332,43.968199515,1590.3369860100001,180.956464716,1.1134235030000001,52.134435618,4957.21840049,164.20092585199998,10.727164017,534.347461714,1.485421115,70.380367183,535.758704899,1295.0264554599999,663.906761859,320.220129774
Persons,60.0,Communicable,Infectious and parasitic diseases,Chlamydia,0.593229542,0.011776232999999999,0.306821271,2.655486945,5.0372291e-05,0.477103284,0.114532263,0.330953673,0.035888487,0.11033672700000001,0.010535586,0.0048081889,14.776908904,0.02053334,0.093864453,0.15943638699999998,,0.308403883,0.039123367,0.738822562,0.016457404000000002,0.071591476,4.816838193,0.0064129067,0.028975246,1.76931844,0.650177792,0.457026694,0.888746374,0.36253281,0.0038467426000000004,0.535580269,0.750516289,0.674475993,8.401419773999999,0.4260628,0.09292742899999999,0.242320136,0.033886656,0.98766325,0.023292234999999998,0.586794709,0.015183641999999999,0.053485637,0.169620591,5.452829726,0.054574926999999995,0.090750413,0.10694175,0.212508646,0.19818928400000002,0.027538268999999997,0.092417393,0.425126778,0.024992825,8.102121841,0.063710241,0.119312838,1.2619962519999999,0.090007569,0.067399301,0.023564517,0.763935497,1.066623508,0.114868451,0.0049931068,0.193824819,0.515949916,0.11298710000000001,0.02815461,0.6919114789999999,0.17909519799999998,0.11104080399999999,,41.741652599,3.854199149,0.573756199,0.17723031800000003,0.033174705,,0.343869298,0.043390444,2.190432644,0.022842229,0.22482491000000002,2.978703744,0.010335131000000001,0.0076604954,0.121035582,0.299171097,0.148167855,0.019060586,0.13769030200000001,0.095707232,0.052906209,0.17437453,,2.1284066409999998,0.672688476,0.156702262,0.0035383491999999997,0.813405213,,0.107793143,0.026153129,1.23013126,0.0053038283,0.052756085,0.0032086337,1.238522487,2.9139827940000003,5.487771701,0.06657226499999999,1.193624496,0.23566241699999999,,0.034768687,0.862790972,8.643637937,0.094050258,0.0060044498,4.402801516999999,,0.378999985,0.107004652,0.654048246,1.412850375,0.331440108,0.109397624,0.0010717532,0.27073749199999997,0.221556486,0.160932727,1.7783063890000002,0.511285881,,0.0042003962,0.0032828522000000002,0.0027536343,0.13335555000000002,0.344842476,0.04782425,0.0029989096,0.60133817,0.04078253,0.056512053,,0.033114492,1.151220401,1.601548092,0.971544094,0.385419266,0.342034613,1.150384715,0.0089190625,0.081269164,0.235091954,0.157454119,0.02080257,0.166111332,1.314760881,,0.038472252000000005,0.362077082,0.0029490939,0.045147504,0.140594517,1.1478109969999999,0.147073381,3.4897570730000003,1.266569225,0.0066340609,1.485464898,3.9545883490000002,3.578779889,0.22416155200000001,0.084461117,0.0072291214,0.405230101,1.257118555,0.646774468,1.53742908,1.618422445
Persons,70.0,Communicable,Infectious and parasitic diseases,Gonorrhoea,2.3166690059999997,0.146358014,1.18617117,9.228348187,7.6443509e-05,2.659188122,0.7951255589999999,1.056396242,0.09333517699999999,0.533529635,0.056555677,0.018721996,67.927090526,0.081579117,0.5627286890000001,0.545673618,,0.99151747,0.23532999699999999,2.966942248,0.07069175899999999,0.475746246,16.862001519,0.021142961000000002,0.16057907700000001,7.919865174,4.40026224,1.6564677319999999,2.841976114,1.087301377,0.013541051,2.060709709,2.553492581,2.0351733710000004,40.101405442,1.93164942,0.418344031,0.879097813,0.086210349,3.272497307,0.162540315,1.9810607640000002,0.039498807000000004,0.178940703,0.9052023530000001,22.167019047,0.332853766,0.526794938,1.199571437,0.9815890049999999,1.623349518,0.135680685,0.333355236,2.813436077,0.071757796,44.223428734,0.196411765,0.441160176,4.091930867,0.330449459,0.214523194,0.101305806,2.864919787,5.969382569,0.39235909,0.013487914,0.974837614,1.757098521,0.351156766,0.109685171,3.226001006,0.5901512680000001,0.310317957,,295.806340204,24.178654809,3.122380475,0.6334598889999999,0.13735447399999998,,1.987971971,0.112845808,7.063318875999999,0.10328916199999999,1.434216724,23.546200037,0.031974892000000005,0.034184003,0.477308343,1.010798229,0.487725687,0.091209509,0.757322366,0.347395668,0.221852747,0.499186602,,9.168667778,4.149437741,0.623405444,0.016227283999999998,2.711042642,,0.380859331,0.07165858900000001,4.720368065,0.016135075,0.181046729,0.020175745000000002,9.755007755,14.281850143,16.711386323,0.462845016,9.837964825,0.936008166,,0.148438545,2.782168295,29.116137564,0.328878126,0.06405647,33.119242229,,1.261311924,0.862287865,2.888650161,5.1210625709999995,1.241411501,0.564473044,0.0048804514,1.444433689,0.576622752,0.457366604,8.148871041000001,7.575218265999999,,0.018797752,0.012638784,0.0096402232,0.523284606,1.1867592900000001,0.131048979,0.012373918,1.91605867,0.218373709,0.150297456,0.087491813,0.098518236,10.052003840000001,8.930540444,7.4803209950000005,1.8776389660000001,1.116741824,3.9532290859999994,0.046263221,0.402694638,0.685975167,0.544522795,0.117131455,1.469256427,4.945638654,,0.13813181900000002,1.15869841,0.0098544827,0.31500398,0.5201159790000001,6.910701849,0.943114241,15.255403213000001,14.287040995,0.043348051,5.020047002,20.299861020999998,14.038703407,0.7206066219999999,0.215156654,0.023490300000000002,1.437510504,9.852170639,2.39027719,7.618791637,5.039566797
Persons,80.0,Communicable,Infectious and parasitic diseases,Trichomoniasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persons,85.0,Communicable,Infectious and parasitic diseases,Genital herpes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persons,90.0,Communicable,Infectious and parasitic diseases,Other STDs,1.305232197,0.058515383,0.608806966,5.229475676,5.6929513999999996e-05,1.154841346,0.362297225,0.31358359599999996,0.024955744,0.23813020000000001,0.020768945,0.0073916783,31.464287623999997,0.020874843,0.278635288,0.17626572,,0.551761729,0.117261775,1.583465924,0.030113539999999998,0.240823194,8.331164451,0.0098428136,0.069559116,4.228316820000001,2.351165693,0.912817377,1.625900079,0.430940107,0.0059055308,1.083530818,1.4333163180000001,1.049022195,18.330539300999998,0.947946627,0.236690504,0.46538162000000005,0.054388154,1.9266906400000001,0.062060482,1.106128855,0.010556198000000001,0.081868884,0.42660304699999996,11.709484825,0.148093657,0.27458227,0.525505644,0.42688959600000004,0.734228268,0.061592454000000005,0.182664201,1.5836302880000002,0.050100974,24.21856875,0.114400058,0.141523213,1.364335949,0.158670859,0.125135269,0.041504107,0.961635858,3.084847665,0.126440979,0.007095536899999999,0.509566638,0.9815272949999999,0.19967674500000002,0.062765882,1.6451171900000001,0.28027700299999997,0.194879576,,136.635524692,10.342465617,1.315222275,0.334660171,0.047007908,,0.650409895,0.030172317,2.2569054769999997,0.050024901,0.689047474,12.526497216000001,0.019111391,0.016231391,0.203243368,0.554889695,0.22421198299999998,0.039949649999999996,0.368638986,0.183669738,0.10913200399999999,0.213947863,,5.232857757,2.2410034220000004,0.29319342000000004,0.0077881262,1.490856718,,0.199539394,0.038515578,1.896004296,0.0096076534,0.0911267,0.008870722599999999,4.540091142,7.947329893,9.175135722,0.22816695,4.534061739,0.300949964,,0.074717765,1.582604666,16.556016939,0.110595429,0.027319307,13.880553879,,0.74183356,0.40594818400000005,1.3840675199999999,2.355505602,0.5292706610000001,0.192287612,0.0026171716,0.581362221,0.38192725,0.233304305,3.714408676,3.66298003,,0.011671324,0.0069492061999999995,0.0052121386,0.29214122,0.6542711330000001,0.09453169,0.0054797329,1.134935584,0.071955715,0.057826723000000003,0.033958286,0.059711093,5.036564873,4.448826726999999,3.825918265,0.673107076,0.49317164900000005,2.2520231020000003,0.021875525,0.215210766,0.22803514,0.16746339600000001,0.057266408,0.686034455,2.607091209,,0.077089317,0.643085398,0.0054079218999999994,0.103419679,0.27196398499999996,2.9020617939999998,0.42071565,8.783852076,6.425651388,0.021008128,1.765062544,11.342933408,5.294349918,0.267070451,0.120693228,0.013624958,0.767955274,3.943553846,1.324437185,4.274866482,2.596716613
Persons,100.0,Communicable,Infectious and parasitic diseases,HIV/AIDS,100.453372864,14.181140445,97.602045482,6368.429715189999,13.716198295,1412.49713826,9.722423249,135.822741866,48.224030733,34.919742526,285.50078924900004,10.68998412,45.375292547,50.539826114,112.81579492300001,54.01214993,34.41063623,2851.9739572199996,5.0934322850000004,795.835714012,5.030991847,16807.0236619,15091.1417089,2.8559204190000003,40.965244715000004,14533.0927092,5892.44100426,8662.51999256,26613.0892171,530.300102317,83.566025958,11732.4160335,7390.8342683,459.833698679,18457.250065499997,2195.0274245600003,0.0036627034000000004,7060.55855431,126.17462637099999,32448.436203100002,6.110573411,137.654846728,2.493328987,1.0178571939999999,16.909228475,29603.6488188,27.419981718,520.754420448,5053.31488506,461.688396969,57.646612503,542.208339838,157.590306624,1274.7131512400001,3.1487709280000002,68217.3027548,5.730685364,10.158824325,1147.63116831,1691.1555925,404.59692615800003,84.9564799,624.271606419,16180.9578895,589.869790912,4.6442751289999995,513.8745068100001,5780.11894493,627.816201907,221.626228022,10695.1419242,3483.8981571,13.007344604,0.6875,80083.3685809,656.448320899,577.8855658399999,,6.800411686,24.742878795,1003.28767086,1517.78348364,47.854931592999996,2.612165928,88.986698239,112651.0865,,,2.96795654,36.71112652,3.232056022,58.867398853,10504.6318044,2105.22699831,,6.282809258,2.39417991,1540.16591269,72662.02214809999,7726.98598316,0.086408852,6684.52772716,0.673469394,566.690569983,,4331.16993424,,0.144512833,,356.91296128,29857.678653299998,8071.42791615,6994.79949005,335.83276293800003,142.436654568,21.048202634,607.911168894,3293.54974009,119458.20680500001,14.87331605,39.929772804,402.130131809,639.374798414,946.3851927830001,439.551381729,4662.90305357,38.305147157,942.921178398,1314.9742152699998,0.152340855,28.123687248,10.89710331,119.630143715,8787.11811366,17492.3910727,15.807639316,33.460618511,,62.632437577000005,,1286.4140991099998,53.020084424,3.60239706,784.3026002109999,,2.253938437,4.348239898999999,,1157.7306274700002,157186.29688799998,3369.53759678,1790.0176072900001,16.401183423,613.588628867,102.257456253,6370.1131036199995,26.744378685999997,145.460420012,22.744995217,183.88035667399998,47609.719697099994,1.951381028,0.034967615,5951.97155828,,528.199640467,13.775107527,133.907457502,,97177.9124476,4649.9675389,,210.419670693,104503.810867,15123.0147506,144.725427892,111.976787096,,1508.35609697,2302.22324309,153.26421943999998,61052.080900199995,111861.375929
Persons,110.0,Communicable,Infectious and parasitic diseases,Diarrhoeal diseases,23196.5697348,47.026889127000004,2812.79314982,38438.1947054,0.036224382,749.996173996,63.690724687999996,31.666145589000003,6.3063021710000005,1277.84864594,2.843476207,2.6591785850000003,65149.199318399995,4.455109829,41.350527658,84.220771641,14.800516706,8905.90680606,329.80215386,3794.64162028,7.644654095,590.074505825,12274.4353623,0.762551215,55.035127066,16235.2507628,10693.2585077,7358.09168412,21350.430028600003,250.65189170000002,81.33743497,4652.28431248,21585.0980313,256.718282745,40008.0748896,1899.8956090200002,537.2567784859999,2744.65930723,114.393378019,16008.045046700001,12.696638534,268.05034763000003,3.077282341,3.006327631,2998.07918915,57056.225141200004,65.431531278,618.244274801,798.5695499699999,1274.95771465,7999.15184775,796.291011351,604.885794272,3936.58212083,3.274476303,106129.8618,54.630585423,32.367918199,1078.27413815,547.542441649,1248.78107817,89.93353440899999,260.28130373000005,10390.600333800001,9.640985513,3.506580575,4762.74249311,11737.514749200001,1905.18945208,160.004661432,5920.2864603,1390.91346589,15.958058526,1.010180754,732471.187218,94198.9390419,4452.34980913,3848.46569567,33.790380948999996,110.223172823,38.992551035000005,66.157649148,1245.53478477,219.068674181,1056.63021301,39935.6272152,39.29738629,4.790070652,551.0608643950001,3857.87011229,4.352225088,79.920198352,1801.2283016499998,4263.17391229,147.245252616,4.232580626,4.724702582,17375.1006723,17780.161673900002,458.287839857,24.408037028,23758.204464,0.333787999,2443.15605206,18.798095729,7598.2456982700005,22.467468590000003,373.981213983,1.792351377,3696.91935655,27210.096101400002,22214.5490835,943.950591839,18144.0848145,29.892158754999997,17.602580426,1056.76187858,32519.313216999995,227158.010668,82.613504427,39.348128503999995,85922.0380315,156.01215393500001,2668.21254136,699.634521931,2893.21299757,14096.486108500001,57.434662881,12.075362003,1.642744137,319.33188085,28.385283684999997,179.570421692,1374.02385299,14768.2896812,2.952480812,4.005072997999999,9.813740958,78.44746660599999,577.862994711,12219.733642,19.325140593,1.562070321,10865.3935198,20.568130295,10.89122135,5.161327693,57.544901762,18996.367118,17173.1505373,15441.2644691,294.397980734,1246.71449532,19558.7657502,43.943722550000004,858.625342164,51.811189057,27.303990954,1184.7686503,2990.59095643,3223.9710476200003,37.533080817999995,782.5627696189999,4164.307952079999,4.916784010000001,29.120655889000002,470.264996023,1989.28781899,1196.62088983,26675.960763900002,213.891125788,26.277017267,624.460528611,45604.3138031,1964.16847449,100.89148419200001,3891.89862238,37.045914558999996,1896.0262197299999,8698.23232666,10484.7760038,18484.6045682,6100.05764362
Persons,130.0,Communicable,Infectious and parasitic diseases,Whooping cough,1803.91250829,8.041014107,121.063683641,1156.92654367,3.4398192000000004e-05,28.393293747999998,4.22799724,1.59609848,,26.334513101,,0.06947082,1118.5213793799999,0.00022110082,8.366523572,1.488661989,,352.63992607299997,3.340130909,341.853771563,4.397192987,9.096534036,69.94886072599999,0.021516565,0.010862446,803.333612501,379.207434934,454.278875649,953.596781084,5.136915397,1.694994081,240.485290983,750.214080435,10.513357261,2218.6571158700003,31.584684591000002,28.023531734,188.343266987,1.195418648,1014.98026603,,,0.998200883,,56.131043649999995,4452.0956435,0.350941795,9.677060026,49.529601387,59.995440629,337.199811885,30.738929022,29.5803499,178.14354393000002,,5392.43975497,3.535588291,,15.741488628,52.488774895,64.38796026899999,7.321806771,,737.539165554,0.011347897000000001,,84.266977959,554.506061285,76.10096369200001,,452.837069247,41.955380242,,,8815.991279060001,1273.91106094,249.12390225299998,201.634889526,0.21083132899999998,,,10.999715533,1.4786474790000002,28.692948558999998,37.26441926299999,1402.10502469,0.21808865200000002,0.418499046,19.994362889,239.158679856,,6.979448424,64.742345151,211.407771557,20.854192173999998,,,1015.94299629,508.145296288,106.964160036,1.0706721049999999,732.099763545,,148.530152125,,8.355358563,1.251794337,9.968224029,0.131669457,130.328357388,1374.5231582,427.271560466,66.35959923600001,1005.3690843,,1.484743088,33.816421005,946.38635777,9552.26261293,,9.248528091,6403.2375497,,200.125159636,167.10692613799998,142.006364862,2754.70688725,0.17490150200000001,1.000629154,1.032443936,,,1.2066457640000001,145.52058614400002,551.250566363,,0.00040147648,1.580334408,1.4314961940000002,113.264641217,523.31088291,,0.0042874266,376.50134123099997,,,,12.993177293,731.402620116,241.567757954,678.58457211,1.2970658419999999,32.188852072,1625.2290335399998,0.358699469,35.346791979,2.3323360429999997,,117.06086196199999,53.252912569,94.763324162,,44.465382876,288.671098223,0.019085033,,16.858288505,135.51614519999998,17.92658878,1582.24129914,39.415119681,5.268675234000001,2.880473551,1692.79234068,13.825023358,,97.736112405,3.284983833,59.576007282999996,223.621802544,899.0592120370001,502.559852919,126.452601359
